Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test Results
GraphSAGE,0.05,50,0.05,128,"{'mse': 4639.0493, 'torch_mse': 4639.048828125, 'mae': 47.14242, 'r2': -0.49354697043300194, 'rmse': 68.110565, 'ev_score': -2.483526865641276e-08, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[31.14971 , 31.44958 , 24.622663, ..., 29.197098, 32.76241 ,
        14.449644],
       [31.14971 , 31.44958 , 24.622663, ..., 29.197098, 32.76241 ,
        14.449644],
       [31.14971 , 31.44958 , 24.622663, ..., 29.197098, 32.76241 ,
        14.449644],
       ...,
       [31.14971 , 31.44958 , 24.622663, ..., 29.197098, 32.76241 ,
        14.449644],
       [31.14971 , 31.44958 , 24.622663, ..., 29.197098, 32.76241 ,
        14.449644],
       [31.14971 , 31.44958 , 24.622663, ..., 29.197098, 32.76241 ,
        14.449644]], dtype=float32)}"
GIN,0.05,50,0.05,128,"{'mse': 2067.4883, 'torch_mse': 2067.488525390625, 'mae': 31.635767, 'r2': 0.3065790053228999, 'rmse': 45.469643, 'ev_score': 0.45174987117449444, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 62.58874   ,  53.260094  ,  32.241394  , ...,  45.205097  ,
         79.19792   ,  20.211489  ],
       [ 38.456448  ,  30.362638  ,   8.937578  , ...,  19.274946  ,
         52.02734   ,   3.9182959 ],
       [ 29.665863  ,  23.615839  ,   3.273089  , ...,  12.081095  ,
         40.46465   ,  -0.21350579],
       ...,
       [ 24.241108  ,  22.754656  ,  14.478854  , ...,  18.74659   ,
         33.668964  ,   7.069847  ],
       [109.22886   , 109.164894  , 112.92303   , ..., 120.721016  ,
        123.94385   ,  78.40418   ],
       [ 88.45345   ,  73.19168   ,  44.882637  , ...,  62.91543   ,
        112.55832   ,  26.403568  ]], dtype=float32)}"
GCN,0.05,50,0.05,256,"{'mse': 2562.0977, 'torch_mse': 2562.097900390625, 'mae': 41.701664, 'r2': 0.0539793710186842, 'rmse': 50.61717, 'ev_score': 0.24361701806386313, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[103.613594 ,  89.16509  ,  53.316017 , ...,  69.74222  ,
        140.74237  ,  -8.318509 ],
       [ 92.99534  ,  80.04001  ,  47.90234  , ...,  62.61082  ,
        126.28684  ,  -7.5516505],
       [ 87.62408  ,  75.42406  ,  45.16382  , ...,  59.00339  ,
        118.974464 ,  -7.1637316],
       ...,
       [ 91.23583  ,  78.527916 ,  47.005245 , ...,  61.429096 ,
        123.89145  ,  -7.424571 ],
       [137.01051  , 117.86565  ,  70.34332  , ...,  92.17218  ,
        186.2085   , -10.730473 ],
       [116.718094 , 100.42681  ,  59.997303 , ...,  78.54342  ,
        158.58269  ,  -9.264931 ]], dtype=float32)}"
GAT,0.05,50,0.05,256,"{'mse': 6977.275, 'torch_mse': 6977.27392578125, 'mae': 62.2137, 'r2': -1.456795557296023, 'rmse': 83.53008, 'ev_score': -1.095183402299881, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[169.00456  , 179.96268  , 112.38439  , ..., 162.33731  ,
        127.685684 ,  71.571976 ],
       [ -5.8626575,  -5.7089186, -10.4968815, ...,  -4.3864717,
         -9.936571 , -20.080215 ],
       [ -6.026166 ,  -5.8825293, -10.611783 , ...,  -4.5423665,
        -10.065254 , -20.165916 ],
       ...,
       [ -6.026166 ,  -5.8825293, -10.611783 , ...,  -4.5423665,
        -10.065254 , -20.165916 ],
       [207.23271  , 220.55278  , 139.24768  , ..., 198.7852   ,
        157.77162  ,  91.608284 ],
       [207.23271  , 220.55278  , 139.24768  , ..., 198.7852   ,
        157.77162  ,  91.608284 ]], dtype=float32)}"
GraphSAGE,0.05,50,0.05,256,"{'mse': 1494.27, 'torch_mse': 1494.2701416015625, 'mae': 28.779741, 'r2': 0.4104095029390793, 'rmse': 38.65579, 'ev_score': 0.4422701845566432, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[128.983    , 100.1332   ,  65.96418  , ...,  80.75639  ,
        159.01025  ,  24.909115 ],
       [ 39.50313  ,  31.649841 ,   7.669368 , ...,  14.2615   ,
         54.741173 ,  15.341202 ],
       [ 48.749454 ,  38.228477 ,  19.91337  , ...,  26.343008 ,
         62.53852  ,  12.430595 ],
       ...,
       [  3.6492946,   5.021957 , -25.840467 , ..., -20.885939 ,
         17.820364 ,  17.871262 ],
       [161.68805  , 127.58242  ,  57.065742 , ...,  79.75892  ,
        211.57812  ,  47.341305 ],
       [ 78.31052  ,  64.43927  ,  -5.6184773, ...,  10.791892 ,
        118.42379  ,  43.669765 ]], dtype=float32)}"
GIN,0.05,50,0.05,256,"{'mse': 2192.2307, 'torch_mse': 2192.23095703125, 'mae': 33.941986, 'r2': 0.19718936602068027, 'rmse': 46.821262, 'ev_score': 0.351191778977712, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 55.64248  ,  32.37405  , -20.377016 , ...,  -1.5152123,
         93.243935 , -19.775705 ],
       [ 71.54859  ,  45.139023 , -26.082808 , ...,   3.3563273,
        105.26139  , -20.385948 ],
       [ 80.30753  ,  52.647408 , -28.513954 , ...,   6.4690437,
        112.45159  , -19.355915 ],
       ...,
       [ 28.141521 ,  22.152271 ,   1.6673886, ...,   6.6686993,
         49.70059  ,  -4.6360407],
       [ 70.295525 ,  50.65315  ,  10.501713 , ...,  25.36599  ,
        113.24364  ,  -1.6640944],
       [ 72.71098  ,  44.36325  , -14.073242 , ...,   8.3214245,
        118.219284 , -17.125452 ]], dtype=float32)}"
GCN,0.05,50,0.05,512,"{'mse': 2180.623, 'torch_mse': 2180.623291015625, 'mae': 33.9237, 'r2': 0.24406651457930062, 'rmse': 46.697144, 'ev_score': 0.24460357427597046, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 78.55989  ,  59.03112  ,  19.671106 , ...,  36.005028 ,
        123.02145  ,   3.3749123],
       [ 67.35082  ,  52.282593 ,  16.160799 , ...,  34.899967 ,
         91.69944  ,   5.536091 ],
       [ 61.147907 ,  46.764603 ,  13.424063 , ...,  30.619476 ,
         84.39964  ,   3.7933636],
       ...,
       [ 75.042175 ,  60.98022  ,  26.655499 , ...,  41.598457 ,
        108.816574 ,  11.15468  ],
       [105.3122   ,  76.53423  ,  42.39344  , ...,  39.37067  ,
        198.2222   ,  15.125435 ],
       [ 77.14022  ,  51.61677  ,  25.449524 , ...,  20.297215 ,
        157.53775  ,   4.796871 ]], dtype=float32)}"
GAT,0.05,50,0.05,512,"{'mse': 480552.66, 'torch_mse': 480552.59375, 'mae': 513.1036, 'r2': -219.2431614973619, 'rmse': 693.21906, 'ev_score': -91.46361414591472, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[-2111.857   , -1540.4004  , -1493.1489  , ..., -2376.1357  ,
        -1525.634   ,  -538.3042  ],
       [ -196.81409 ,   -48.720947,  -177.01123 , ...,  -313.9015  ,
          245.58423 ,   429.02966 ],
       [ -196.81421 ,   -48.720947,  -177.01172 , ...,  -313.90173 ,
          245.5841  ,   429.02954 ],
       ...,
       [-1472.4426  , -1210.7761  , -1532.7163  , ...,  -984.1218  ,
         -470.33838 ,   817.5508  ],
       [ -742.55786 ,  -404.2456  ,  -602.7583  , ...,  -627.8074  ,
           -9.111084,   864.09753 ],
       [-1219.1836  ,  -770.93896 ,  -738.6992  , ..., -1548.7329  ,
         -792.36035 ,  -235.32544 ]], dtype=float32)}"
GraphSAGE,0.05,50,0.05,512,"{'mse': 2141.9075, 'torch_mse': 2141.9072265625, 'mae': 33.196297, 'r2': 0.20338409351961054, 'rmse': 46.280746, 'ev_score': 0.37122008204460144, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 84.904915  ,  47.813354  ,  25.35492   , ...,  47.49553   ,
        128.57063   ,   2.9271545 ],
       [ 25.567894  ,   0.3935547 ,  -7.5823364 , ...,   0.47537994,
         52.141262  , -21.063934  ],
       [ 26.617725  ,   6.687378  ,  -1.6233597 , ...,   6.086128  ,
         48.31789   , -12.489044  ],
       ...,
       [  4.118637  , -28.443298  , -30.813324  , ..., -27.325638  ,
         35.244877  , -47.03119   ],
       [151.9808    ,  78.652435  ,  36.51297   , ...,  78.46347   ,
        235.20468   ,  -7.6567993 ],
       [116.83876   ,  41.556152  ,   7.570862  , ...,  42.565613  ,
        198.74228   , -35.750916  ]], dtype=float32)}"
GIN,0.05,50,0.05,512,"{'mse': 2479.0842, 'torch_mse': 2479.083740234375, 'mae': 38.567158, 'r2': 0.11982688472122914, 'rmse': 49.7904, 'ev_score': 0.2883753925561905, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 73.02728  ,  40.33841  ,  59.38277  , ...,  39.47087  ,
        193.11578  ,  31.058931 ],
       [ 66.213524 ,  48.36674  ,  37.083313 , ...,  37.664062 ,
        132.16754  ,  16.355167 ],
       [ 47.85193  ,  29.122574 ,  22.523193 , ...,  17.219135 ,
        112.274185 ,   8.8132105],
       ...,
       [ 47.130234 ,  40.162415 ,  39.73768  , ...,  35.305553 ,
         94.67156  ,  16.419647 ],
       [161.879    , 136.3063   , 158.06522  , ..., 151.3708   ,
        275.9276   ,  90.285034 ],
       [105.905045 ,  69.18099  , 102.567085 , ...,  78.18742  ,
        247.70392  ,  57.509262 ]], dtype=float32)}"
