Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test Results
GIN,0.01,50,0.0005,32,"{'mse': 5067.833, 'torch_mse': 5067.8330078125, 'mae': 49.89581, 'r2': -0.5547200691196931, 'rmse': 71.18871, 'ev_score': 0.29058602452278137, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 9.391269  ,  9.9552145 ,  7.9017487 , ...,  8.826542  ,
         9.186847  ,  7.6086097 ],
       [ 4.531151  ,  4.9563932 ,  3.8932292 , ...,  4.272004  ,
         4.3987    ,  3.6755605 ],
       [ 0.42479253,  0.60427296,  0.3591586 , ...,  0.3223198 ,
         0.43835065,  0.30579245],
       ...,
       [ 1.6018199 ,  1.8525615 ,  1.4610785 , ...,  1.4926445 ,
         1.5890627 ,  1.2849927 ],
       [55.50483   , 57.584435  , 46.358932  , ..., 52.189144  ,
        54.50238   , 45.403267  ],
       [34.646713  , 36.00935   , 28.946463  , ..., 32.636612  ,
        34.0599    , 28.338127  ]], dtype=float32)}"
GCN,0.01,50,0.0005,64,"{'mse': 1375.5355, 'torch_mse': 1375.5355224609375, 'mae': 26.418917, 'r2': 0.5384106229126808, 'rmse': 37.08821, 'ev_score': 0.5403704742590586, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ -1.2151071 ,  -6.4296255 ,   0.33589444, ...,  16.316744  ,
        152.4882    ,   6.4604707 ],
       [ 54.6459    ,  33.612038  ,  -4.439401  , ...,  12.018223  ,
        116.91451   ,  -5.5712495 ],
       [ 51.131237  ,   2.5400243 ,   6.7702913 , ..., -10.449188  ,
        131.07448   ,   1.0139147 ],
       ...,
       [ 45.760147  ,  43.058247  ,  29.558655  , ...,  38.542854  ,
         86.11173   ,  12.340575  ],
       [ 99.02334   ,  98.929085  ,  69.3209    , ...,  83.27755   ,
        164.4641    ,   8.546404  ],
       [ 33.926865  ,  31.282719  ,  20.155838  , ...,  33.424484  ,
        180.95949   ,  -3.3633976 ]], dtype=float32)}"
GAT,0.01,50,0.0005,64,"{'mse': 1153.6227, 'torch_mse': 1153.6226806640625, 'mae': 24.522614, 'r2': 0.6301274518481009, 'rmse': 33.965023, 'ev_score': 0.6329094767570496, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 53.73492  ,  43.501896 ,  -6.7345033, ...,  20.020823 ,
        144.94797  ,   7.882728 ],
       [ 26.699713 ,  14.271612 ,   1.4070636, ...,   0.3236534,
         87.094284 ,  -8.329686 ],
       [ 77.56489  ,  33.839264 ,  -2.61115  , ...,   1.9349396,
        101.63192  ,  -2.54485  ],
       ...,
       [ 56.092403 ,  41.48033  ,  58.594975 , ...,  71.595604 ,
         91.848366 ,  16.486874 ],
       [125.20022  , 102.21359  ,  50.207138 , ...,  83.95247  ,
        161.50969  ,   1.4518563],
       [ 90.487045 ,  38.317574 ,  15.133622 , ...,   1.4218208,
        168.37752  ,  -3.0435011]], dtype=float32)}"
GraphSAGE,0.01,50,0.0005,64,"{'mse': 324.5744, 'torch_mse': 324.5744323730469, 'mae': 13.01084, 'r2': 0.8762813596204566, 'rmse': 18.01595, 'ev_score': 0.8781356563170751, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 2.6823408e+01,  1.3979604e+01,  1.8647573e+01, ...,
         2.4158270e+01,  2.6936664e+02,  5.6256156e+00],
       [ 2.3906994e+00, -2.5201815e-01,  1.3646454e+00, ...,
         6.4342265e+00,  9.6480774e+01, -2.2557271e+00],
       [ 2.6568810e+01,  6.2410512e+00, -3.4047797e+00, ...,
        -2.3823071e+00,  1.0191281e+02, -2.8889949e+00],
       ...,
       [-3.9357634e+00,  8.5642420e-02,  1.3719592e+01, ...,
         1.1825797e+01,  7.1027931e+01,  5.1009107e+00],
       [ 8.9729156e+01,  8.4512138e+01,  6.7892242e+01, ...,
         9.0704185e+01,  8.7848434e+01,  1.2714230e+01],
       [ 3.3984268e+01,  2.8334009e+01,  2.7480484e+01, ...,
         2.4067410e+01,  1.2786842e+02,  2.2589569e+00]], dtype=float32)}"
GIN,0.01,50,0.0005,64,"{'mse': 5527.739, 'torch_mse': 5527.73876953125, 'mae': 52.677532, 'r2': -0.7119896898252475, 'rmse': 74.34876, 'ev_score': 0.24247350295384726, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[14.059051  , 13.386479  , 11.829305  , ..., 13.016448  ,
        14.748855  ,  7.5071507 ],
       [ 1.5126753 ,  1.5046325 ,  0.8570911 , ...,  1.1662346 ,
         1.4501929 ,  0.62546396],
       [ 1.8450336 ,  1.6868063 ,  1.3338405 , ...,  1.5924879 ,
         1.9058713 ,  0.98260504],
       ...,
       [ 2.537479  ,  2.7792196 ,  1.1997008 , ...,  1.932127  ,
         2.309825  ,  0.8109968 ],
       [55.846317  , 53.16061   , 47.066025  , ..., 51.549427  ,
        57.77411   , 29.475895  ],
       [34.38489   , 32.688812  , 28.998123  , ..., 31.825935  ,
        35.766724  , 18.221489  ]], dtype=float32)}"
GCN,0.01,50,0.0005,128,"{'mse': 1551.8774, 'torch_mse': 1551.877685546875, 'mae': 28.278982, 'r2': 0.4813918097205851, 'rmse': 39.393875, 'ev_score': 0.48424822092056274, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 48.62001  ,  22.454672 ,  14.312257 , ...,  17.439293 ,
        146.2339   ,   1.7359487],
       [ 69.62631  ,  40.225044 ,  -1.5223565, ...,  17.940279 ,
        115.69229  ,  -2.563752 ],
       [ 59.56198  ,  22.019346 ,  -5.471015 , ...,  -2.848297 ,
        122.48209  ,  -1.095421 ],
       ...,
       [ 58.281742 ,  54.13175  ,  36.380547 , ...,  55.775753 ,
         95.82926  ,  13.086593 ],
       [107.862045 ,  98.34487  ,  68.511345 , ...,  93.160965 ,
        171.9613   ,  18.43336  ],
       [ 47.90853  ,  21.821003 ,  41.747463 , ...,  19.56486  ,
        192.82874  ,   7.3932595]], dtype=float32)}"
GAT,0.01,50,0.0005,128,"{'mse': 1283.7041, 'torch_mse': 1283.7041015625, 'mae': 25.781883, 'r2': 0.5469049936952838, 'rmse': 35.828815, 'ev_score': 0.5498762875795364, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 54.11296   ,  29.898003  ,  18.617273  , ...,  25.168745  ,
        135.3102    ,  23.219759  ],
       [ 77.16933   ,  29.341858  ,   9.009526  , ...,  18.285772  ,
        120.63708   ,   0.51943505],
       [ 65.96687   ,  26.975473  ,   1.4411619 , ...,  15.034962  ,
         87.98195   ,  -1.7454602 ],
       ...,
       [ 29.457418  ,  65.81622   ,  44.63987   , ...,  39.170506  ,
         69.85712   ,   1.639692  ],
       [ 68.57133   ,  61.41549   ,  56.31386   , ...,  35.05555   ,
         85.42159   ,  18.032011  ],
       [ 46.63359   ,  31.902866  ,  21.465155  , ...,   9.499892  ,
        157.91643   ,   0.85933775]], dtype=float32)}"
GraphSAGE,0.01,50,0.0005,128,"{'mse': 369.15027, 'torch_mse': 369.1502990722656, 'mae': 13.867176, 'r2': 0.8663705175253161, 'rmse': 19.213284, 'ev_score': 0.8675974756479263, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 45.967194  , -12.09894   ,  12.813778  , ..., -20.591246  ,
        270.6359    ,   5.272986  ],
       [ 20.735973  ,   3.4240768 ,   5.587006  , ...,  -2.7471719 ,
         89.59864   ,   2.8162973 ],
       [ 34.77757   ,   0.30364293,   4.492377  , ...,  -8.196728  ,
         99.0197    ,   1.7685302 ],
       ...,
       [ 12.0990715 ,   9.095465  ,   7.636553  , ...,   6.972297  ,
         54.28219   ,   4.9696956 ],
       [ 94.70726   ,  99.99413   ,  78.79609   , ..., 110.500755  ,
        107.581604  ,  43.478622  ],
       [ 19.098549  ,  13.054804  ,  26.879757  , ...,  24.630108  ,
        149.55885   ,  19.907665  ]], dtype=float32)}"
GIN,0.01,50,0.0005,128,"{'mse': 3455.3875, 'torch_mse': 3455.38720703125, 'mae': 42.057274, 'r2': -0.11749179330837105, 'rmse': 58.782543, 'ev_score': 0.19767093658447266, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 73.21772  ,  60.97166  ,  36.54598  , ...,  50.80354  ,
         81.17621  ,  13.802778 ],
       [ 45.149685 ,  37.104015 ,  21.570305 , ...,  30.608978 ,
         50.54562  ,   7.2485037],
       [ 29.501072 ,  23.258326 ,  12.015163 , ...,  18.391867 ,
         33.8313   ,   2.0286374],
       ...,
       [ 21.99529  ,  19.313885 ,  13.226172 , ...,  16.93078  ,
         23.256985 ,   6.8816376],
       [145.97656  , 124.947136 ,  80.11537  , ..., 106.70034  ,
        156.96864  ,  37.29399  ],
       [102.272415 ,  85.41746  ,  51.854843 , ...,  71.42405  ,
        113.37604  ,  20.022263 ]], dtype=float32)}"
GCN,0.01,50,0.0005,256,"{'mse': 1188.4967, 'torch_mse': 1188.4967041015625, 'mae': 24.762741, 'r2': 0.605724501796168, 'rmse': 34.47458, 'ev_score': 0.6101015359163284, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[-3.6123886e+00, -2.9128513e+00,  7.8224869e+00, ...,
         2.8515793e+01,  1.8944344e+02,  1.5063953e-01],
       [ 6.8801445e+01,  3.5872818e+01,  2.2335205e+00, ...,
         2.5423113e+01,  1.2583546e+02,  1.2854570e+00],
       [ 5.4285938e+01, -4.0445166e+00,  2.7193389e+00, ...,
        -7.2502685e+00,  1.3519167e+02,  3.6091363e+00],
       ...,
       [ 1.9601305e+01,  3.0086716e+01,  2.3770512e+01, ...,
         3.5165283e+01,  7.6929550e+01,  1.4068162e+01],
       [ 1.1907812e+02,  1.2749275e+02,  9.1448608e+01, ...,
         1.0729041e+02,  1.8290038e+02,  1.2739536e+01],
       [ 4.5869781e+01,  3.2151035e+01,  4.2750587e+01, ...,
         3.3709446e+01,  2.2617668e+02, -5.3980684e+00]], dtype=float32)}"
GAT,0.01,50,0.0005,256,"{'mse': 1122.9789, 'torch_mse': 1122.978759765625, 'mae': 24.615564, 'r2': 0.6232145179322809, 'rmse': 33.510876, 'ev_score': 0.6269476811091105, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 72.0176   ,  30.808681 ,  12.706257 , ...,  20.428093 ,
        180.20801  ,  26.347383 ],
       [ 95.15249  ,  55.184254 ,  -5.1085906, ...,  17.008007 ,
        128.65596  ,  -3.6387675],
       [ 45.124203 ,  16.576939 ,  11.55487  , ...,  13.20185  ,
        100.690956 ,  13.1629715],
       ...,
       [ 69.40295  ,  64.82296  ,  67.48855  , ...,  77.0198   ,
         89.209435 ,  36.536007 ],
       [ 70.87969  ,  63.615482 ,  59.048035 , ...,  78.89262  ,
         73.624214 , -10.170744 ],
       [ 18.891077 ,  23.544813 ,  14.413324 , ...,  25.93385  ,
         96.46039  , -10.766657 ]], dtype=float32)}"
GraphSAGE,0.01,50,0.0005,256,"{'mse': 440.11362, 'torch_mse': 440.113525390625, 'mae': 15.14035, 'r2': 0.8368122893153163, 'rmse': 20.978886, 'ev_score': 0.8380492826302847, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 91.13254  ,  29.514584 , -11.497618 , ..., -19.282297 ,
        244.94623  , -11.6642275],
       [ 27.44459  ,  12.49018  , -11.275401 , ...,  -8.118118 ,
         82.618744 ,  -7.868778 ],
       [ 40.34305  ,  15.732408 , -14.252345 , ..., -13.80417  ,
         91.26366  ,  -9.657697 ],
       ...,
       [ 14.945858 ,  13.304433 ,   9.139245 , ...,  11.657805 ,
         61.938587 ,   4.190509 ],
       [ 75.07931  ,  97.18915  ,  84.57982  , ...,  94.935135 ,
         92.52119  ,  11.461938 ],
       [ -2.129708 ,   7.393809 ,  28.839521 , ...,  16.4974   ,
        158.87863  ,   2.770463 ]], dtype=float32)}"
GIN,0.01,50,0.0005,256,"{'mse': 3636.6218, 'torch_mse': 3636.621826171875, 'mae': 41.489193, 'r2': -0.2177278350750982, 'rmse': 60.30441, 'ev_score': -0.13619438807169595, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[119.53297  ,  57.615604 ,  -0.5893043, ...,  23.845242 ,
        155.78333  ,  -4.7923307],
       [112.575424 ,  53.076927 ,  -2.3705688, ...,  20.796894 ,
        146.48209  ,  -6.3424945],
       [113.507095 ,  52.504807 ,  -3.5072885, ...,  19.781252 ,
        147.24222  ,  -6.778065 ],
       ...,
       [ 40.111137 ,  18.737385 ,  -1.152035 , ...,   7.3044944,
         52.31771  ,  -2.5714135],
       [141.45944  ,  73.5715   ,   8.332576 , ...,  36.440758 ,
        183.3289   ,   2.7219927],
       [183.57286  ,  90.1578   ,   1.9076064, ...,  39.0098   ,
        239.36972  ,  -4.6663322]], dtype=float32)}"
GCN,0.01,50,0.0005,512,"{'mse': 1593.6006, 'torch_mse': 1593.600341796875, 'mae': 28.419937, 'r2': 0.46693216292901646, 'rmse': 39.919926, 'ev_score': 0.468786358833313, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 63.45989  ,  30.11667  ,   6.78242  , ...,  11.984918 ,
        130.34781  ,   2.6221564],
       [ 78.88385  ,  51.571556 ,  -1.3465662, ...,  21.34163  ,
        117.44315  ,  -5.973418 ],
       [ 65.19982  ,  26.856075 , -10.558035 , ...,  -1.7056336,
        126.068344 ,  -9.799576 ],
       ...,
       [ 70.545105 ,  64.857864 ,  23.908123 , ...,  50.1416   ,
         78.30763  ,  11.200873 ],
       [ 86.22484  ,  67.251785 ,  32.72562  , ...,  50.28087  ,
        146.75407  ,  17.90216  ],
       [ 65.02386  ,  21.377234 ,  20.32672  , ...,   9.662258 ,
        168.46944  ,  15.994897 ]], dtype=float32)}"
GAT,0.01,50,0.0005,512,"{'mse': 1982.9352, 'torch_mse': 1982.9354248046875, 'mae': 33.11972, 'r2': 0.3350345651635376, 'rmse': 44.53016, 'ev_score': 0.339753861228625, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 8.8467468e+01,  5.4472588e+01,  2.3406544e+00, ...,
         3.0599586e+01,  1.3016589e+02, -1.1346457e+01],
       [ 4.0473373e+01,  1.7242817e+01, -1.0308089e+01, ...,
         8.9247841e-01,  7.1282639e+01, -3.0539370e+00],
       [ 4.0238304e+01,  1.7060083e+01, -1.0515150e+01, ...,
         6.9064248e-01,  7.1124084e+01, -3.2464323e+00],
       ...,
       [ 4.0168785e+01,  2.9083500e+01, -1.5439674e+01, ...,
        -6.1271667e-02,  1.1407303e+02, -1.9050749e+01],
       [ 1.1157189e+02,  1.1295499e+02,  6.8594139e+01, ...,
         1.0290363e+02,  1.3221867e+02,  3.9474083e+01],
       [ 6.6976776e+01,  3.9078819e+01,  7.4573917e+00, ...,
         1.8076811e+01,  8.1359528e+01,  7.5273514e-01]], dtype=float32)}"
GraphSAGE,0.01,50,0.0005,512,"{'mse': 754.77057, 'torch_mse': 754.7706298828125, 'mae': 20.000238, 'r2': 0.7010863242622861, 'rmse': 27.473087, 'ev_score': 0.7013931572437286, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.2546356e+02,  6.9472252e+01, -2.5104931e+01, ...,
        -3.4565172e+00,  2.2578194e+02, -3.2802357e+01],
       [ 4.3231216e+01,  2.4560368e+01, -9.0805283e+00, ...,
         3.3016131e+00,  8.4509109e+01, -9.5193148e+00],
       [ 4.6687004e+01,  2.3530125e+01, -1.6428005e+01, ...,
        -4.8303986e+00,  9.5463684e+01, -1.6061266e+01],
       ...,
       [ 3.0853615e+01,  2.2527496e+01,  5.5397415e+00, ...,
         1.3607368e+01,  4.8264389e+01,  1.5271921e+00],
       [ 9.3138588e+01,  8.2453552e+01,  4.8841427e+01, ...,
         7.0238617e+01,  1.1153831e+02,  3.4411015e+01],
       [ 7.7263535e+01,  4.2114780e+01, -2.0707975e+01, ...,
        -1.6028134e-02,  1.5361514e+02, -1.9870546e+01]], dtype=float32)}"
GIN,0.01,50,0.0005,512,"{'mse': 2229.312, 'torch_mse': 2229.312255859375, 'mae': 32.68718, 'r2': 0.2559087389448208, 'rmse': 47.21559, 'ev_score': 0.32839227716128033, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 44.687653 ,  30.757061 ,   6.393305 , ...,  19.240654 ,
         68.319244 ,   1.0450181],
       [ 75.48722  ,  61.912743 ,  22.091038 , ...,  54.24021  ,
         81.79176  ,   9.281958 ],
       [ 42.291077 ,  18.75328  ,  -3.8109374, ...,  -2.7333927,
         61.026314 ,  -0.9128617],
       ...,
       [ 48.997177 ,  45.75479  ,  41.78344  , ...,  49.926994 ,
         48.551304 ,  27.769535 ],
       [140.65448  , 135.3641   , 120.14844  , ..., 143.68439  ,
        154.31258  ,  69.55764  ],
       [ 61.848694 ,  46.881664 ,  28.90831  , ...,  37.63055  ,
         91.56154  ,  16.114954 ]], dtype=float32)}"
GCN,0.01,50,5e-05,32,"{'mse': 1553.14, 'torch_mse': 1553.1400146484375, 'mae': 27.920387, 'r2': 0.48229217418136133, 'rmse': 39.409897, 'ev_score': 0.4841078619162242, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 68.841774 ,  47.318073 ,   8.018046 , ...,  15.490249 ,
        136.12633  ,  -3.4236574],
       [ 79.84229  ,  48.33555  ,  -3.0603178, ...,  19.602629 ,
        113.98639  ,  -3.3048956],
       [ 74.495346 ,  19.61961  ,  -8.5954485, ...,   4.723052 ,
        127.49351  ,   0.7274   ],
       ...,
       [ 55.91898  ,  55.508717 ,  42.201252 , ...,  41.170025 ,
         98.18566  ,   9.924548 ],
       [ 73.02736  ,  78.876625 ,  72.27423  , ...,  72.97887  ,
        158.79935  ,   8.898164 ],
       [ 29.188564 ,  11.333651 ,  33.74998  , ...,   6.87289  ,
        190.66325  ,  -4.13581  ]], dtype=float32)}"
GAT,0.01,50,5e-05,32,"{'mse': 1299.1815, 'torch_mse': 1299.1815185546875, 'mae': 24.985392, 'r2': 0.5895048424847317, 'rmse': 36.04416, 'ev_score': 0.5959442108869553, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 99.85517  ,  57.650925 ,  15.13578  , ...,  34.34629  ,
        147.05286  ,   3.0635977],
       [ 79.77158  ,  52.688606 ,   5.158626 , ...,  25.037222 ,
        109.36438  ,   0.685889 ],
       [ 41.79545  ,  14.074781 ,   8.553435 , ...,   9.033955 ,
         70.33032  ,   2.7716086],
       ...,
       [ 61.908913 ,  24.193707 ,  13.643553 , ...,   9.026679 ,
        106.077736 ,  16.60312  ],
       [131.74655  ,  86.2922   ,  42.037903 , ...,  60.62595  ,
        164.0493   ,  20.68984  ],
       [131.74655  ,  86.29219  ,  42.037876 , ...,  60.62592  ,
        164.0493   ,  20.689846 ]], dtype=float32)}"
GraphSAGE,0.01,50,5e-05,32,"{'mse': 345.8608, 'torch_mse': 345.8608093261719, 'mae': 13.029015, 'r2': 0.8670590749308261, 'rmse': 18.597334, 'ev_score': 0.8681353032588959, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.3864720e+01, -1.1848079e+01,  5.1602759e+00, ...,
         6.8981180e+00,  2.9585492e+02,  7.6740413e+00],
       [ 1.6735590e+01,  6.6663108e+00,  2.3049779e+00, ...,
        -9.9488221e-02,  8.3517357e+01, -7.4921870e+00],
       [ 2.1511242e+01,  8.5281134e+00,  3.6233878e+00, ...,
        -3.8923402e+00,  8.7830101e+01, -4.5249314e+00],
       ...,
       [ 6.2416291e+00, -3.9477181e+00,  8.8006315e+00, ...,
        -4.2463727e+00,  6.3260208e+01, -4.6516066e+00],
       [ 1.1557123e+02,  1.0630325e+02,  6.9421074e+01, ...,
         9.9884171e+01,  1.1124401e+02,  4.0178204e+01],
       [ 1.9620529e+01,  3.3045685e+00,  2.3920715e+01, ...,
         1.2621325e+01,  1.3085207e+02,  2.9725194e+00]], dtype=float32)}"
