Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GIN,0.5,100,0.0005,128,7587.89697265625
GCN,0.5,100,0.0001,16,2897.732421875
GAT,0.5,100,0.0001,16,271793209344.0
GraphSAGE,0.5,100,0.0001,16,7637.54345703125
GIN,0.5,100,0.0001,16,7667.37890625
GCN,0.5,100,0.0001,32,7653.03076171875
GAT,0.5,100,0.0001,32,65130414080.0
GraphSAGE,0.5,100,0.0001,32,7739.265625
GIN,0.5,100,0.0001,32,14847.0703125
GCN,0.5,100,0.0001,64,7692.5478515625
GAT,0.5,100,0.0001,64,90564.6015625
GraphSAGE,0.5,100,0.0001,64,7744.67724609375
GIN,0.5,100,0.0001,64,513635.625
GCN,0.5,100,0.0001,128,7720.2373046875
GAT,0.5,100,0.0001,128,14385001472.0
GraphSAGE,0.5,100,0.0001,128,7753.33251953125
GIN,0.5,100,0.0001,128,7490.58544921875
GCN,0.5,200,0.005,16,3036.915283203125
GAT,0.5,200,0.005,16,542928128.0
GraphSAGE,0.5,200,0.005,16,7710.15673828125
GIN,0.5,200,0.005,16,7667.10595703125
GCN,0.5,200,0.005,32,7554.05322265625
GAT,0.5,200,0.005,32,10490.8642578125
GraphSAGE,0.5,200,0.005,32,3047.669921875
GIN,0.5,200,0.005,32,7720.6875
GCN,0.5,200,0.005,64,7664.70947265625
GAT,0.5,200,0.005,64,918957824.0
GraphSAGE,0.5,200,0.005,64,7749.65673828125
GIN,0.5,200,0.005,64,7691.67138671875
GCN,0.5,200,0.005,128,7695.380859375
GAT,0.5,200,0.005,128,22795844.0
GraphSAGE,0.5,200,0.005,128,7711.9833984375
GIN,0.5,200,0.005,128,7434.92578125
GCN,0.5,200,0.001,16,7138.82763671875
GAT,0.5,200,0.001,16,8700999680.0
GraphSAGE,0.5,200,0.001,16,7614.58740234375
GIN,0.5,200,0.001,16,8494.6455078125
GCN,0.5,200,0.001,32,7466.94873046875
GAT,0.5,200,0.001,32,116569473024.0
GraphSAGE,0.5,200,0.001,32,7733.86328125
GIN,0.5,200,0.001,32,7579.1875
GCN,0.5,200,0.001,64,7665.294921875
GAT,0.5,200,0.001,64,66593832960.0
GraphSAGE,0.5,200,0.001,64,3163.763916015625
GIN,0.5,200,0.001,64,6777.64697265625
GCN,0.5,200,0.001,128,7696.31005859375
GAT,0.5,200,0.001,128,226220425216.0
GraphSAGE,0.5,200,0.001,128,7735.81103515625
GIN,0.5,200,0.001,128,1725767.375
GCN,0.5,200,0.0005,16,7218.298828125
GAT,0.5,200,0.0005,16,283950336.0
GraphSAGE,0.5,200,0.0005,16,7697.822265625
GIN,0.5,200,0.0005,16,7685.5078125
GCN,0.5,200,0.0005,32,7388.73095703125
GAT,0.5,200,0.0005,32,1130214272.0
GraphSAGE,0.5,200,0.0005,32,7699.71142578125
GIN,0.5,200,0.0005,32,7449.509765625
GCN,0.5,200,0.0005,64,7678.52783203125
GAT,0.5,200,0.0005,64,130766992.0
GraphSAGE,0.5,200,0.0005,64,7749.49853515625
GIN,0.5,200,0.0005,64,12698056.0
GCN,0.5,200,0.0005,128,7698.6552734375
GAT,0.5,200,0.0005,128,248929.1875
GraphSAGE,0.5,200,0.0005,128,7735.67578125
GIN,0.5,200,0.0005,128,7575.55615234375
GCN,0.5,200,0.0001,16,7479.0537109375
GAT,0.5,200,0.0001,16,3390796288.0
GraphSAGE,0.5,200,0.0001,16,7687.275390625
GIN,0.5,200,0.0001,16,5596.30078125
GCN,0.5,200,0.0001,32,7578.099609375
GAT,0.5,200,0.0001,32,85597372416.0
GraphSAGE,0.5,200,0.0001,32,7700.21826171875
GIN,0.5,200,0.0001,32,7525.7294921875
GCN,0.5,200,0.0001,64,7659.1533203125
GAT,0.5,200,0.0001,64,27016075264.0
GraphSAGE,0.5,200,0.0001,64,7735.43701171875
GIN,0.5,200,0.0001,64,7521.2353515625
GCN,0.5,200,0.0001,128,7676.72216796875
GAT,0.5,200,0.0001,128,201220.140625
GraphSAGE,0.5,200,0.0001,128,7747.41015625
GIN,0.5,200,0.0001,128,7573.09521484375
GCN,0.5,500,0.005,16,5226.46875
GAT,0.5,500,0.005,16,24459.3828125
GraphSAGE,0.5,500,0.005,16,7315.55126953125
GIN,0.5,500,0.005,16,7396.3486328125
GCN,0.5,500,0.005,32,7171.69482421875
GAT,0.5,500,0.005,32,44700808.0
GraphSAGE,0.5,500,0.005,32,7641.57421875
GIN,0.5,500,0.005,32,19343.126953125
GCN,0.5,500,0.005,64,7533.36083984375
GAT,0.5,500,0.005,64,69877.65625
GraphSAGE,0.5,500,0.005,64,7695.1630859375
GIN,0.5,500,0.005,64,7530.908203125
GCN,0.5,500,0.005,128,7680.20166015625
GAT,0.5,500,0.005,128,365226496.0
GraphSAGE,0.5,500,0.005,128,7745.44970703125
GIN,0.5,500,0.005,128,7542.4501953125
GCN,0.5,500,0.001,16,2777.783203125
GAT,0.5,500,0.001,16,221966208.0
GraphSAGE,0.5,500,0.001,16,5839.5126953125
GIN,0.5,500,0.001,16,7554.03369140625
GCN,0.5,500,0.001,32,2850.45458984375
GAT,0.5,500,0.001,32,29042221056.0
GraphSAGE,0.5,500,0.001,32,7654.8125
GIN,0.5,500,0.001,32,13589.9287109375
GCN,0.5,500,0.001,64,7521.68408203125
GAT,0.5,500,0.001,64,162555592704.0
GraphSAGE,0.5,500,0.001,64,7727.66259765625
GIN,0.5,500,0.001,64,7585.19677734375
GCN,0.5,500,0.001,128,7652.93017578125
GAT,0.5,500,0.001,128,598306.25
GraphSAGE,0.5,500,0.001,128,7744.056640625
GIN,0.5,500,0.001,128,587480.375
GCN,0.5,500,0.0005,16,3928.2265625
GAT,0.5,500,0.0005,16,268103696384.0
GraphSAGE,0.5,500,0.0005,16,6890.46142578125
GIN,0.5,500,0.0005,16,4356.6650390625
GCN,0.5,500,0.0005,32,6533.111328125
GAT,0.5,500,0.0005,32,10821045248.0
