Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GraphSAGE,0.1,50,0.0005,64,6401.0068359375
GIN,0.1,50,0.0005,64,7489.41748046875
GCN,0.1,50,0.0005,128,7493.0986328125
GAT,0.1,50,0.0005,128,4500500.5
GraphSAGE,0.1,50,0.0005,128,7514.361328125
GIN,0.1,50,0.0005,128,7388.4501953125
GCN,0.1,50,0.0001,16,2622.481689453125
GAT,0.1,50,0.0001,16,180876.9375
GraphSAGE,0.1,50,0.0001,16,7364.35986328125
GIN,0.1,50,0.0001,16,2952.496826171875
GCN,0.1,50,0.0001,32,2681.140869140625
GAT,0.1,50,0.0001,32,21182722.0
GraphSAGE,0.1,50,0.0001,32,4711.779296875
GIN,0.1,50,0.0001,32,5296.60400390625
GCN,0.1,50,0.0001,64,2896.57958984375
GAT,0.1,50,0.0001,64,20678.90234375
GraphSAGE,0.1,50,0.0001,64,7511.4453125
GIN,0.1,50,0.0001,64,7173.81005859375
GCN,0.1,50,0.0001,128,7497.2578125
GAT,0.1,50,0.0001,128,18974040.0
GraphSAGE,0.1,50,0.0001,128,7517.5771484375
GIN,0.1,50,0.0001,128,6157.34326171875
GCN,0.1,100,0.005,16,2798.671142578125
GAT,0.1,100,0.005,16,238455.328125
GraphSAGE,0.1,100,0.005,16,6724.93701171875
GIN,0.1,100,0.005,16,7281.17724609375
GCN,0.1,100,0.005,32,2737.505126953125
GAT,0.1,100,0.005,32,11824.4833984375
GraphSAGE,0.1,100,0.005,32,3183.15966796875
GIN,0.1,100,0.005,32,3999.96923828125
GCN,0.1,100,0.005,64,2547.37744140625
GAT,0.1,100,0.005,64,8740.587890625
GraphSAGE,0.1,100,0.005,64,7367.404296875
GIN,0.1,100,0.005,64,7496.53369140625
GCN,0.1,100,0.005,128,7431.7724609375
GAT,0.1,100,0.005,128,16121974.0
GraphSAGE,0.1,100,0.005,128,7506.5322265625
GIN,0.1,100,0.005,128,7256.96337890625
GCN,0.1,100,0.001,16,2526.391357421875
GAT,0.1,100,0.001,16,161674.390625
GraphSAGE,0.1,100,0.001,16,4671.5771484375
GIN,0.1,100,0.001,16,7170.2646484375
GCN,0.1,100,0.001,32,3152.7236328125
GAT,0.1,100,0.001,32,2358551.25
GraphSAGE,0.1,100,0.001,32,7102.6962890625
GIN,0.1,100,0.001,32,7431.1923828125
GCN,0.1,100,0.001,64,2539.863037109375
GAT,0.1,100,0.001,64,321386.25
GraphSAGE,0.1,100,0.001,64,7495.44140625
GIN,0.1,100,0.001,64,7486.6904296875
GCN,0.1,100,0.001,128,2541.180908203125
GAT,0.1,100,0.001,128,124520944.0
GraphSAGE,0.1,100,0.001,128,7511.01416015625
GIN,0.1,100,0.001,128,645788.4375
GCN,0.1,100,0.0005,16,2388.31689453125
GAT,0.1,100,0.0005,16,85028.8125
GraphSAGE,0.1,100,0.0005,16,7124.333984375
GIN,0.1,100,0.0005,16,2881.005615234375
GCN,0.1,100,0.0005,32,2652.318359375
GAT,0.1,100,0.0005,32,19435372.0
GraphSAGE,0.1,100,0.0005,32,7318.44873046875
GIN,0.1,100,0.0005,32,7446.0771484375
GCN,0.1,100,0.0005,64,2978.0703125
GAT,0.1,100,0.0005,64,44208472.0
GraphSAGE,0.1,100,0.0005,64,7466.12548828125
GIN,0.1,100,0.0005,64,3614.957275390625
GCN,0.1,100,0.0005,128,7444.97216796875
GAT,0.1,100,0.0005,128,44987332.0
GraphSAGE,0.1,100,0.0005,128,7495.802734375
GIN,0.1,100,0.0005,128,7374.8857421875
GCN,0.1,100,0.0001,16,2581.408203125
GAT,0.1,100,0.0001,16,289981.03125
GraphSAGE,0.1,100,0.0001,16,6796.48046875
GIN,0.1,100,0.0001,16,7281.50927734375
GCN,0.1,100,0.0001,32,2581.425537109375
GAT,0.1,100,0.0001,32,8847.8447265625
GraphSAGE,0.1,100,0.0001,32,7429.3662109375
GIN,0.1,100,0.0001,32,7464.74072265625
GCN,0.1,100,0.0001,64,2446.496826171875
GAT,0.1,100,0.0001,64,13047.255859375
GraphSAGE,0.1,100,0.0001,64,7110.48583984375
GIN,0.1,100,0.0001,64,7500.373046875
GCN,0.1,100,0.0001,128,7431.3017578125
GAT,0.1,100,0.0001,128,572974.0
GraphSAGE,0.1,100,0.0001,128,7509.5498046875
GIN,0.1,100,0.0001,128,159849.25
GCN,0.1,200,0.005,16,2414.741455078125
GAT,0.1,200,0.005,16,23030900.0
GraphSAGE,0.1,200,0.005,16,4005.384521484375
GIN,0.1,200,0.005,16,2791.142578125
GCN,0.1,200,0.005,32,2338.55029296875
GAT,0.1,200,0.005,32,1078939.625
GraphSAGE,0.1,200,0.005,32,3049.002685546875
GIN,0.1,200,0.005,32,2819.279052734375
GCN,0.1,200,0.005,64,6951.83984375
GAT,0.1,200,0.005,64,12028.0458984375
GraphSAGE,0.1,200,0.005,64,7404.701171875
GIN,0.1,200,0.005,64,7479.4306640625
GCN,0.1,200,0.005,128,2503.183837890625
GAT,0.1,200,0.005,128,1128748.875
GraphSAGE,0.1,200,0.005,128,7495.423828125
GIN,0.1,200,0.005,128,7559.45166015625
GCN,0.1,200,0.001,16,2378.903076171875
GAT,0.1,200,0.001,16,57287028.0
GraphSAGE,0.1,200,0.001,16,5831.26123046875
GIN,0.1,200,0.001,16,2969.715576171875
GCN,0.1,200,0.001,32,2468.873291015625
GAT,0.1,200,0.001,32,9276.3681640625
GraphSAGE,0.1,200,0.001,32,7358.41943359375
GIN,0.1,200,0.001,32,7450.4658203125
GCN,0.1,200,0.001,64,3316.315185546875
GAT,0.1,200,0.001,64,9772.4951171875
GraphSAGE,0.1,200,0.001,64,7403.322265625
GIN,0.1,200,0.001,64,7251.6708984375
GCN,0.1,200,0.001,128,7310.71435546875
GAT,0.1,200,0.001,128,16135.513671875
GraphSAGE,0.1,200,0.001,128,7490.08544921875
GIN,0.1,200,0.001,128,5849.30517578125
GCN,0.1,200,0.0005,16,2422.12158203125
GAT,0.1,200,0.0005,16,1593794.75
GraphSAGE,0.1,200,0.0005,16,5968.03564453125
GIN,0.1,200,0.0005,16,6276.7333984375
GCN,0.1,200,0.0005,32,2536.48486328125
GAT,0.1,200,0.0005,32,16064.3671875
GraphSAGE,0.1,200,0.0005,32,2913.956298828125
GIN,0.1,200,0.0005,32,7372.705078125
GCN,0.1,200,0.0005,64,3394.4169921875
GAT,0.1,200,0.0005,64,8968.5634765625
GraphSAGE,0.1,200,0.0005,64,7312.5048828125
GIN,0.1,200,0.0005,64,7503.36767578125
GCN,0.1,200,0.0005,128,7323.71240234375
GAT,0.1,200,0.0005,128,49733.92578125
GraphSAGE,0.1,200,0.0005,128,7477.8935546875
GIN,0.1,200,0.0005,128,7721.916015625
GCN,0.1,200,0.0001,16,2804.404296875
GAT,0.1,200,0.0001,16,31491.126953125
GraphSAGE,0.1,200,0.0001,16,6362.5068359375
GIN,0.1,200,0.0001,16,6585.3193359375
GCN,0.1,200,0.0001,32,2637.2490234375
GAT,0.1,200,0.0001,32,11132.1572265625
GraphSAGE,0.1,200,0.0001,32,7118.8564453125
GIN,0.1,200,0.0001,32,7291.29541015625
GCN,0.1,200,0.0001,64,2542.491943359375
GAT,0.1,200,0.0001,64,23867288.0
GraphSAGE,0.1,200,0.0001,64,7381.73876953125
GIN,0.1,200,0.0001,64,7507.3388671875
GCN,0.1,200,0.0001,128,2464.54345703125
GAT,0.1,200,0.0001,128,97425.9296875
GraphSAGE,0.1,200,0.0001,128,7489.81103515625
GIN,0.1,200,0.0001,128,7494.72216796875
GCN,0.1,500,0.005,16,2445.336181640625
GAT,0.1,500,0.005,16,177903.296875
GraphSAGE,0.1,500,0.005,16,2915.442138671875
GIN,0.1,500,0.005,16,5379.177734375
GCN,0.1,500,0.005,32,2327.456298828125
GAT,0.1,500,0.005,32,68797.125
GraphSAGE,0.1,500,0.005,32,2992.660400390625
GIN,0.1,500,0.005,32,7063.87939453125
GCN,0.1,500,0.005,64,2795.35498046875
GAT,0.1,500,0.005,64,294674240.0
GraphSAGE,0.1,500,0.005,64,7083.19189453125
GIN,0.1,500,0.005,64,2832.380615234375
GCN,0.1,500,0.005,128,6611.89892578125
GAT,0.1,500,0.005,128,23577.15625
GraphSAGE,0.1,500,0.005,128,7389.03076171875
GIN,0.1,500,0.005,128,13025.5322265625
GCN,0.1,500,0.001,16,2343.1142578125
GAT,0.1,500,0.001,16,39522436.0
GraphSAGE,0.1,500,0.001,16,2902.11181640625
GIN,0.1,500,0.001,16,4603.99072265625
GCN,0.1,500,0.001,32,2781.453369140625
GAT,0.1,500,0.001,32,10112.6064453125
GraphSAGE,0.1,500,0.001,32,2932.646240234375
GIN,0.1,500,0.001,32,2864.880615234375
GCN,0.1,500,0.001,64,2701.70703125
GAT,0.1,500,0.001,64,18640.37890625
GraphSAGE,0.1,500,0.001,64,2899.935302734375
GIN,0.1,500,0.001,64,7471.97607421875
GCN,0.1,500,0.001,128,3187.241943359375
GAT,0.1,500,0.001,128,48717.89453125
GraphSAGE,0.1,500,0.001,128,7361.9658203125
GIN,0.1,500,0.001,128,6756.5517578125
GCN,0.1,500,0.0005,16,2789.3779296875
GAT,0.1,500,0.0005,16,7710.71826171875
GraphSAGE,0.1,500,0.0005,16,5576.2900390625
GIN,0.1,500,0.0005,16,5420.92138671875
GCN,0.1,500,0.0005,32,2779.9775390625
GAT,0.1,500,0.0005,32,12064.548828125
GraphSAGE,0.1,500,0.0005,32,4415.55322265625
GIN,0.1,500,0.0005,32,2866.64013671875
GCN,0.1,500,0.0005,64,2486.580322265625
GAT,0.1,500,0.0005,64,16896.68359375
GraphSAGE,0.1,500,0.0005,64,6990.56640625
GIN,0.1,500,0.0005,64,2861.751708984375
GCN,0.1,500,0.0005,128,6881.70849609375
GAT,0.1,500,0.0005,128,18421078.0
GraphSAGE,0.1,500,0.0005,128,7389.2548828125
GIN,0.1,500,0.0005,128,7450.7529296875
GCN,0.1,500,0.0001,16,2329.1767578125
GAT,0.1,500,0.0001,16,59109044.0
GraphSAGE,0.1,500,0.0001,16,4544.07080078125
GIN,0.1,500,0.0001,16,5522.89404296875
GCN,0.1,500,0.0001,32,2196.716064453125
GAT,0.1,500,0.0001,32,10784.2958984375
GraphSAGE,0.1,500,0.0001,32,2924.676513671875
GIN,0.1,500,0.0001,32,2848.163818359375
GCN,0.1,500,0.0001,64,2329.9716796875
GAT,0.1,500,0.0001,64,10843.2587890625
GraphSAGE,0.1,500,0.0001,64,7116.0810546875
GIN,0.1,500,0.0001,64,2923.468017578125
GCN,0.1,500,0.0001,128,2725.407470703125
GAT,0.1,500,0.0001,128,36739.7109375
GraphSAGE,0.1,500,0.0001,128,7372.1904296875
GIN,0.1,500,0.0001,128,7472.49560546875
GCN,0.05,50,0.005,16,2188.98779296875
GAT,0.05,50,0.005,16,50967.43359375
GraphSAGE,0.05,50,0.005,16,5163.4365234375
GIN,0.05,50,0.005,16,7343.765625
GCN,0.05,50,0.005,32,2525.322021484375
GAT,0.05,50,0.005,32,139766.046875
GraphSAGE,0.05,50,0.005,32,4319.431640625
GIN,0.05,50,0.005,32,4407.13037109375
GCN,0.05,50,0.005,64,2095.578125
GAT,0.05,50,0.005,64,76321.890625
GraphSAGE,0.05,50,0.005,64,3334.18310546875
GIN,0.05,50,0.005,64,7478.85302734375
GCN,0.05,50,0.005,128,2517.362060546875
GAT,0.05,50,0.005,128,28467856.0
GraphSAGE,0.05,50,0.005,128,4345.51171875
GIN,0.05,50,0.005,128,6454.8271484375
GCN,0.05,50,0.001,16,2164.48876953125
GAT,0.05,50,0.001,16,130792.90625
GraphSAGE,0.05,50,0.001,16,3600.396728515625
GIN,0.05,50,0.001,16,7348.79833984375
GCN,0.05,50,0.001,32,2142.452392578125
GAT,0.05,50,0.001,32,30720.296875
GraphSAGE,0.05,50,0.001,32,4782.67529296875
GIN,0.05,50,0.001,32,7436.11572265625
GCN,0.05,50,0.001,64,2414.478759765625
GAT,0.05,50,0.001,64,1058960.375
GraphSAGE,0.05,50,0.001,64,2808.749755859375
GIN,0.05,50,0.001,64,7466.06640625
GCN,0.05,50,0.001,128,6786.36328125
GAT,0.05,50,0.001,128,4612376.5
GraphSAGE,0.05,50,0.001,128,4224.681640625
GIN,0.05,50,0.001,128,7454.796875
GCN,0.05,50,0.0005,16,2371.65185546875
GAT,0.05,50,0.0005,16,7906.60009765625
GraphSAGE,0.05,50,0.0005,16,4196.7333984375
GIN,0.05,50,0.0005,16,6684.130859375
GCN,0.05,50,0.0005,32,2875.939208984375
GAT,0.05,50,0.0005,32,33974.6875
GraphSAGE,0.05,50,0.0005,32,4280.6826171875
GIN,0.05,50,0.0005,32,7411.77099609375
GCN,0.05,50,0.0005,64,2865.67236328125
GAT,0.05,50,0.0005,64,104508.6640625
GraphSAGE,0.05,50,0.0005,64,4174.77783203125
GIN,0.05,50,0.0005,64,7484.12548828125
GCN,0.05,50,0.0005,128,6329.37890625
GAT,0.05,50,0.0005,128,9075612.0
GraphSAGE,0.05,50,0.0005,128,7480.5673828125
GIN,0.05,50,0.0005,128,7453.787109375
GCN,0.05,50,0.0001,16,2670.63525390625
GAT,0.05,50,0.0001,16,20452.923828125
GraphSAGE,0.05,50,0.0001,16,3850.313720703125
GIN,0.05,50,0.0001,16,7286.56640625
GCN,0.05,50,0.0001,32,2359.23828125
GAT,0.05,50,0.0001,32,360896.59375
GraphSAGE,0.05,50,0.0001,32,3061.921630859375
GIN,0.05,50,0.0001,32,7388.51123046875
GCN,0.05,50,0.0001,64,3641.464599609375
GAT,0.05,50,0.0001,64,77627.3359375
GraphSAGE,0.05,50,0.0001,64,3138.219970703125
GIN,0.05,50,0.0001,64,7466.701171875
GCN,0.05,50,0.0001,128,2982.292724609375
GAT,0.05,50,0.0001,128,3366366.0
GraphSAGE,0.05,50,0.0001,128,3996.787841796875
GIN,0.05,50,0.0001,128,7481.248046875
GCN,0.05,100,0.005,16,2607.29150390625
GAT,0.05,100,0.005,16,9435.3779296875
GraphSAGE,0.05,100,0.005,16,2969.894287109375
GIN,0.05,100,0.005,16,7029.86767578125
GCN,0.05,100,0.005,32,2230.673095703125
GAT,0.05,100,0.005,32,196804.4375
GraphSAGE,0.05,100,0.005,32,3945.75341796875
GIN,0.05,100,0.005,32,7142.705078125
GCN,0.05,100,0.005,64,3755.675048828125
GAT,0.05,100,0.005,64,62815.78125
GraphSAGE,0.05,100,0.005,64,3441.51123046875
GIN,0.05,100,0.005,64,7439.57568359375
GCN,0.05,100,0.005,128,2034.6484375
GAT,0.05,100,0.005,128,263962.03125
GraphSAGE,0.05,100,0.005,128,3752.711181640625
GIN,0.05,100,0.005,128,7480.74462890625
GCN,0.05,100,0.001,16,2147.380615234375
GAT,0.05,100,0.001,16,33610.55859375
GraphSAGE,0.05,100,0.001,16,3907.6474609375
GIN,0.05,100,0.001,16,7015.224609375
GCN,0.05,100,0.001,32,2577.397705078125
GAT,0.05,100,0.001,32,963358.8125
GraphSAGE,0.05,100,0.001,32,3551.727294921875
GIN,0.05,100,0.001,32,7369.03076171875
GCN,0.05,100,0.001,64,2024.75048828125
GAT,0.05,100,0.001,64,41552.25
GraphSAGE,0.05,100,0.001,64,3103.011474609375
GIN,0.05,100,0.001,64,4991.60791015625
GCN,0.05,100,0.001,128,2662.68798828125
GAT,0.05,100,0.001,128,789571.5
GraphSAGE,0.05,100,0.001,128,7461.39794921875
GIN,0.05,100,0.001,128,7482.94482421875
GCN,0.05,100,0.0005,16,3408.212158203125
GAT,0.05,100,0.0005,16,139472.890625
GraphSAGE,0.05,100,0.0005,16,4141.2509765625
GIN,0.05,100,0.0005,16,2869.7509765625
GCN,0.05,100,0.0005,32,2283.333251953125
GAT,0.05,100,0.0005,32,31212.986328125
GraphSAGE,0.05,100,0.0005,32,4012.11865234375
GIN,0.05,100,0.0005,32,3029.82763671875
GCN,0.05,100,0.0005,64,2805.578125
GAT,0.05,100,0.0005,64,809904.0625
GraphSAGE,0.05,100,0.0005,64,4466.71533203125
GIN,0.05,100,0.0005,64,7455.9287109375
GCN,0.05,100,0.0005,128,2355.642578125
GAT,0.05,100,0.0005,128,7291.462890625
GraphSAGE,0.05,100,0.0005,128,7450.54052734375
GIN,0.05,100,0.0005,128,4331.97705078125
GCN,0.05,100,0.0001,16,2638.031494140625
GAT,0.05,100,0.0001,16,8449.107421875
GraphSAGE,0.05,100,0.0001,16,2913.841064453125
GIN,0.05,100,0.0001,16,7054.1787109375
GCN,0.05,100,0.0001,32,2196.282470703125
GAT,0.05,100,0.0001,32,12860.9150390625
GraphSAGE,0.05,100,0.0001,32,3783.48291015625
GIN,0.05,100,0.0001,32,5205.37548828125
GCN,0.05,100,0.0001,64,3461.280517578125
GAT,0.05,100,0.0001,64,51165.19140625
GraphSAGE,0.05,100,0.0001,64,2979.684814453125
GIN,0.05,100,0.0001,64,7473.97216796875
GCN,0.05,100,0.0001,128,2882.158935546875
GAT,0.05,100,0.0001,128,5114844.5
GraphSAGE,0.05,100,0.0001,128,2723.646240234375
GIN,0.05,100,0.0001,128,7463.064453125
GCN,0.05,200,0.005,16,2673.02880859375
GAT,0.05,200,0.005,16,2357437.25
GraphSAGE,0.05,200,0.005,16,3660.57958984375
GIN,0.05,200,0.005,16,5095.60107421875
GCN,0.05,200,0.005,32,1900.9261474609375
GAT,0.05,200,0.005,32,35606.875
GraphSAGE,0.05,200,0.005,32,6871.55322265625
GIN,0.05,200,0.005,32,7162.93115234375
GCN,0.05,200,0.005,64,2221.537109375
GAT,0.05,200,0.005,64,8127.14501953125
GraphSAGE,0.05,200,0.005,64,3636.67822265625
GIN,0.05,200,0.005,64,7394.9287109375
GCN,0.05,200,0.005,128,2416.9384765625
GAT,0.05,200,0.005,128,8684.4873046875
GraphSAGE,0.05,200,0.005,128,3249.789794921875
GIN,0.05,200,0.005,128,7484.38916015625
GCN,0.05,200,0.001,16,2120.022216796875
GAT,0.05,200,0.001,16,12675.845703125
GraphSAGE,0.05,200,0.001,16,2909.66015625
GIN,0.05,200,0.001,16,2810.453857421875
GCN,0.05,200,0.001,32,2188.969482421875
GAT,0.05,200,0.001,32,7547.80322265625
GraphSAGE,0.05,200,0.001,32,4027.4814453125
GIN,0.05,200,0.001,32,2915.3623046875
GCN,0.05,200,0.001,64,2108.599365234375
GAT,0.05,200,0.001,64,9194.716796875
GraphSAGE,0.05,200,0.001,64,3538.11474609375
GIN,0.05,200,0.001,64,7432.900390625
GCN,0.05,200,0.001,128,2767.201904296875
GAT,0.05,200,0.001,128,7105.15185546875
GraphSAGE,0.05,200,0.001,128,3033.928466796875
GIN,0.05,200,0.001,128,7471.86279296875
GCN,0.05,200,0.0005,16,2358.31103515625
GAT,0.05,200,0.0005,16,9169.30078125
GraphSAGE,0.05,200,0.0005,16,3553.703369140625
GIN,0.05,200,0.0005,16,6991.2177734375
GCN,0.05,200,0.0005,32,2275.36865234375
GAT,0.05,200,0.0005,32,8130.62109375
GraphSAGE,0.05,200,0.0005,32,2823.12109375
GIN,0.05,200,0.0005,32,6986.095703125
GCN,0.05,200,0.0005,64,2319.6669921875
GAT,0.05,200,0.0005,64,7997.3193359375
GraphSAGE,0.05,200,0.0005,64,4664.80029296875
GIN,0.05,200,0.0005,64,7464.498046875
GCN,0.05,200,0.0005,128,2277.59619140625
GAT,0.05,200,0.0005,128,8944.41015625
GraphSAGE,0.05,200,0.0005,128,2279.782470703125
GIN,0.05,200,0.0005,128,2976.13134765625
GCN,0.05,200,0.0001,16,2628.003662109375
GAT,0.05,200,0.0001,16,203099.421875
GraphSAGE,0.05,200,0.0001,16,2922.909912109375
GIN,0.05,200,0.0001,16,6899.796875
GCN,0.05,200,0.0001,32,2498.130615234375
GAT,0.05,200,0.0001,32,6496.45849609375
GraphSAGE,0.05,200,0.0001,32,4049.847412109375
GIN,0.05,200,0.0001,32,7237.56298828125
GCN,0.05,200,0.0001,64,2024.4576416015625
GAT,0.05,200,0.0001,64,8697.771484375
GraphSAGE,0.05,200,0.0001,64,2902.673828125
GIN,0.05,200,0.0001,64,2810.59814453125
GCN,0.05,200,0.0001,128,2349.055908203125
GAT,0.05,200,0.0001,128,9438.5927734375
GraphSAGE,0.05,200,0.0001,128,2482.293701171875
GIN,0.05,200,0.0001,128,2799.613525390625
GCN,0.05,500,0.005,16,2117.775634765625
GAT,0.05,500,0.005,16,29247.630859375
GraphSAGE,0.05,500,0.005,16,3562.72412109375
GIN,0.05,500,0.005,16,2797.96533203125
GCN,0.05,500,0.005,32,1981.554931640625
GAT,0.05,500,0.005,32,7855.85205078125
GraphSAGE,0.05,500,0.005,32,2902.494384765625
GIN,0.05,500,0.005,32,2821.30419921875
GCN,0.05,500,0.005,64,2311.84716796875
GAT,0.05,500,0.005,64,7833.6611328125
GraphSAGE,0.05,500,0.005,64,3562.627197265625
GIN,0.05,500,0.005,64,7268.24169921875
GCN,0.05,500,0.005,128,2393.78662109375
GAT,0.05,500,0.005,128,8017888.5
GraphSAGE,0.05,500,0.005,128,7171.955078125
GIN,0.05,500,0.005,128,3038.953369140625
GCN,0.05,500,0.001,16,2313.95751953125
GAT,0.05,500,0.001,16,94998.109375
GraphSAGE,0.05,500,0.001,16,2972.157958984375
GIN,0.05,500,0.001,16,5553.28564453125
GCN,0.05,500,0.001,32,2000.2047119140625
GAT,0.05,500,0.001,32,9319.9423828125
GraphSAGE,0.05,500,0.001,32,3658.788818359375
GIN,0.05,500,0.001,32,6470.7978515625
GCN,0.05,500,0.001,64,2056.174072265625
GAT,0.05,500,0.001,64,15980111.0
GraphSAGE,0.05,500,0.001,64,3145.010498046875
GIN,0.05,500,0.001,64,7285.17626953125
GCN,0.05,500,0.001,128,2810.234130859375
GAT,0.05,500,0.001,128,474461.5
GraphSAGE,0.05,500,0.001,128,7197.099609375
GIN,0.05,500,0.001,128,7399.91259765625
GCN,0.05,500,0.0005,16,2165.535888671875
GAT,0.05,500,0.0005,16,202635.40625
GraphSAGE,0.05,500,0.0005,16,2604.9755859375
GIN,0.05,500,0.0005,16,2791.890869140625
GCN,0.05,500,0.0005,32,2190.64013671875
GAT,0.05,500,0.0005,32,7713.1015625
GraphSAGE,0.05,500,0.0005,32,2281.989501953125
GIN,0.05,500,0.0005,32,6507.62255859375
GCN,0.05,500,0.0005,64,1900.4898681640625
GAT,0.05,500,0.0005,64,10504.2509765625
GraphSAGE,0.05,500,0.0005,64,2896.6416015625
GIN,0.05,500,0.0005,64,7342.212890625
GCN,0.05,500,0.0005,128,2801.66845703125
GAT,0.05,500,0.0005,128,16430.26953125
GraphSAGE,0.05,500,0.0005,128,2790.514404296875
GIN,0.05,500,0.0005,128,7421.48046875
GCN,0.05,500,0.0001,16,2433.68212890625
GAT,0.05,500,0.0001,16,164223.625
GraphSAGE,0.05,500,0.0001,16,3347.273193359375
GIN,0.05,500,0.0001,16,2887.17431640625
GCN,0.05,500,0.0001,32,2034.5635986328125
GAT,0.05,500,0.0001,32,7475.83984375
GraphSAGE,0.05,500,0.0001,32,3139.400634765625
GIN,0.05,500,0.0001,32,2802.9384765625
GCN,0.05,500,0.0001,64,2358.198974609375
GAT,0.05,500,0.0001,64,10310.91796875
GraphSAGE,0.05,500,0.0001,64,2572.4521484375
GIN,0.05,500,0.0001,64,2846.93408203125
GCN,0.05,500,0.0001,128,2782.1064453125
GAT,0.05,500,0.0001,128,11918.1845703125
GraphSAGE,0.05,500,0.0001,128,7068.03564453125
GIN,0.05,500,0.0001,128,6629.2001953125
GCN,0.02,50,0.005,16,2038.647705078125
GAT,0.02,50,0.005,16,8714.1650390625
GraphSAGE,0.02,50,0.005,16,2165.666015625
GIN,0.02,50,0.005,16,2781.85498046875
GCN,0.02,50,0.005,32,1939.1116943359375
GAT,0.02,50,0.005,32,9951.2275390625
GraphSAGE,0.02,50,0.005,32,4129.126953125
GIN,0.02,50,0.005,32,2660.419921875
GCN,0.02,50,0.005,64,1933.7818603515625
GAT,0.02,50,0.005,64,9189.2392578125
GraphSAGE,0.02,50,0.005,64,3149.708740234375
GIN,0.02,50,0.005,64,2768.213623046875
GCN,0.02,50,0.005,128,2027.4786376953125
GAT,0.02,50,0.005,128,258295.328125
GraphSAGE,0.02,50,0.005,128,3021.49462890625
GIN,0.02,50,0.005,128,3234.242919921875
GCN,0.02,50,0.001,16,2059.053466796875
GAT,0.02,50,0.001,16,7211.806640625
GraphSAGE,0.02,50,0.001,16,2188.734130859375
GIN,0.02,50,0.001,16,2809.639404296875
GCN,0.02,50,0.001,32,2032.466064453125
GAT,0.02,50,0.001,32,9405.33203125
GraphSAGE,0.02,50,0.001,32,2961.11279296875
GIN,0.02,50,0.001,32,2678.936279296875
GCN,0.02,50,0.001,64,1877.614013671875
GAT,0.02,50,0.001,64,223388.328125
GraphSAGE,0.02,50,0.001,64,3986.602294921875
GIN,0.02,50,0.001,64,2857.309814453125
GCN,0.02,50,0.001,128,2085.70263671875
GAT,0.02,50,0.001,128,321491.9375
GraphSAGE,0.02,50,0.001,128,2764.258056640625
GIN,0.02,50,0.001,128,3473.40087890625
GCN,0.02,50,0.0005,16,2785.789306640625
GAT,0.02,50,0.0005,16,13374.2802734375
GraphSAGE,0.02,50,0.0005,16,3383.298583984375
GIN,0.02,50,0.0005,16,2765.8759765625
GCN,0.02,50,0.0005,32,2025.3944091796875
GAT,0.02,50,0.0005,32,11944.912109375
GraphSAGE,0.02,50,0.0005,32,2715.0888671875
GIN,0.02,50,0.0005,32,2776.811279296875
GCN,0.02,50,0.0005,64,2025.206787109375
GAT,0.02,50,0.0005,64,230530.515625
GraphSAGE,0.02,50,0.0005,64,1640.01611328125
GIN,0.02,50,0.0005,64,2918.69287109375
GCN,0.02,50,0.0005,128,1982.2579345703125
GAT,0.02,50,0.0005,128,52675.5
GraphSAGE,0.02,50,0.0005,128,7382.70849609375
GIN,0.02,50,0.0005,128,2991.44580078125
GCN,0.02,50,0.0001,16,2350.253662109375
GAT,0.02,50,0.0001,16,13607.7119140625
GraphSAGE,0.02,50,0.0001,16,2854.226806640625
GIN,0.02,50,0.0001,16,7403.45947265625
GCN,0.02,50,0.0001,32,1996.876708984375
GAT,0.02,50,0.0001,32,13908.4248046875
GraphSAGE,0.02,50,0.0001,32,3050.7373046875
GIN,0.02,50,0.0001,32,2700.950927734375
GCN,0.02,50,0.0001,64,2033.964599609375
GAT,0.02,50,0.0001,64,9486.005859375
GraphSAGE,0.02,50,0.0001,64,2309.803466796875
GIN,0.02,50,0.0001,64,3711.391845703125
GCN,0.02,50,0.0001,128,1928.385986328125
GAT,0.02,50,0.0001,128,388710.8125
GraphSAGE,0.02,50,0.0001,128,7354.2646484375
GIN,0.02,50,0.0001,128,2899.01318359375
GCN,0.02,100,0.005,16,2069.4453125
GAT,0.02,100,0.005,16,7409.80859375
GraphSAGE,0.02,100,0.005,16,3379.680908203125
GIN,0.02,100,0.005,16,3260.041259765625
GCN,0.02,100,0.005,32,1999.9791259765625
GAT,0.02,100,0.005,32,7262.38232421875
GraphSAGE,0.02,100,0.005,32,4208.42041015625
GIN,0.02,100,0.005,32,3176.6328125
GCN,0.02,100,0.005,64,1782.29443359375
GAT,0.02,100,0.005,64,7682.84033203125
GraphSAGE,0.02,100,0.005,64,2647.54833984375
GIN,0.02,100,0.005,64,2944.90380859375
GCN,0.02,100,0.005,128,1852.308837890625
GAT,0.02,100,0.005,128,44168.8125
GraphSAGE,0.02,100,0.005,128,2764.109375
GIN,0.02,100,0.005,128,3019.98486328125
GCN,0.02,100,0.001,16,2187.40380859375
GAT,0.02,100,0.001,16,6254.50537109375
GraphSAGE,0.02,100,0.001,16,2104.82666015625
GIN,0.02,100,0.001,16,2579.722412109375
GCN,0.02,100,0.001,32,1941.9002685546875
GAT,0.02,100,0.001,32,60166.26953125
